Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
128838,544457,-1046937,-108114,-575233,1945504,-2442800,-2293432,-5148721,-5391977,-3262576,-6219239,-3810235,-3988319,-1733136,-3949418,-5023412
128839,542199,-1042372,-110084,-576890,1943928,-2382697,-2295026,-5152284,-5390006,-3263266,-6220816,-3805745,-3986793,-1735397,-3950194,-4873524
128840,542336,-1043742,-111569,-578916,1938718,-2781856,-2300059,-5148299,-5383584,-3262412,-6214724,-3805021,-3986266,-1729929,-3950149,-5148557
128841,544984,-1048319,-109459,-577342,1940106,-2900192,-2298699,-5143724,-5384285,-3261302,-6211976,-3809094,-3987784,-1726634,-3949228,-5342690
128842,545144,-1046968,-107361,-574666,1945881,-2503437,-2293191,-5147156,-5390665,-3261857,-6217779,-3809884,-3988263,-1731759,-3949176,-5078419
128843,542794,-1042200,-109067,-575924,1945488,-2348712,-2293642,-5151712,-5390441,-3262881,-6220989,-3805811,-3987069,-1735521,-3950194,-4863859
128844,542173,-1042437,-111006,-578338,1939954,-2709900,-2298962,-5148950,-5383945,-3262258,-6215647,-3804087,-3986186,-1730943,-3950337,-5086257
128845,544637,-1047317,-109527,-577546,1939847,-2928507,-2299017,-5143644,-5382991,-3261022,-6211497,-3807892,-3987509,-1726455,-3949456,-5343608
128846,545230,-1047299,-107080,-574677,1945524,-2574432,-2293549,-5145970,-5389492,-3261383,-6216524,-3809819,-3988419,-1730707,-3949284,-5137720
128847,542950,-1042499,-108319,-575379,1946432,-2332356,-2292724,-5151214,-5390905,-3262570,-6221075,-3806232,-3987496,-1735609,-3950344,-4869476
128848,541755,-1041537,-110551,-577923,1941053,-2635967,-2297887,-5149766,-5384783,-3262292,-6216857,-3803665,-3986412,-1732236,-3950792,-5027506
128849,544042,-1046298,-109681,-577815,1939510,-2938848,-2299222,-5143991,-5382301,-3261064,-6211629,-3806970,-3987521,-1726852,-3950140,-5330619
128850,545353,-1047469,-106861,-574725,1944965,-2651569,-2293877,-5144777,-5388212,-3260966,-6215289,-3809677,-3988558,-1729712,-3949667,-5196639
128851,543547,-1042797,-107329,-574495,1947324,-2336186,-2291589,-5150189,-5390963,-3262046,-6220696,-3806613,-3987714,-1735249,-3950496,-4890829
128852,541870,-1040853,-109849,-577135,1942332,-2564935,-2296344,-5150155,-5385557,-3262092,-6217828,-3803373,-3986452,-1733247,-3951162,-4976354
128853,543689,-1045284,-109762,-577784,1939402,-2928658,-2299023,-5144417,-5381797,-3260991,-6211936,-3806014,-3987326,-1727386,-3950689,-5303086
128854,545526,-1047553,-106841,-574785,1944251,-2726057,-2294257,-5143799,-5387046,-3260830,-6214337,-3809629,-3988806,-1728981,-3950215,-5249141
128855,544051,-1043458,-106769,-573947,1947716,-2356239,-2290910,-5149317,-5391142,-3261907,-6220415,-3807398,-3988210,-1734951,-3950846,-4924124
128856,541981,-1040532,-109312,-576462,1943572,-2496937,-2294904,-5150639,-5386625,-3262148,-6218929,-3803521,-3986728,-1734276,-3951561,-4931931
128857,543230,-1044277,-109840,-577757,1939490,-2899825,-2298681,-5145231,-5381676,-3261092,-6212571,-3805191,-3987165,-1728154,-3951251,-5263097
