Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
2820,-30.44811,-30.65857,-33.76615,-35.27952,-38.39904,-32.13504,-32.07594,-33.22599
2821,-30.18939,-30.65857,-33.51095,-33.73584,-37.12544,-34.17536,-32.33178,-32.46327
2822,-30.44811,-30.91313,-33.51095,-33.22128,-36.87072,-35.96064,-32.58762,-31.44631
2823,-23.72139,-23.27633,-26.11015,-26.27472,-29.48384,-28.0544,-22.09818,-24.07335
2824,-14.92491,-14.36673,-16.92295,-17.01264,-19.54976,-16.5776,-8.7945,-18.98855
2825,-12.07899,-12.07569,-12.83975,-12.89616,-16.49312,-12.752,-12.12042,-19.49703
2826,-10.26795,-10.29377,-8.24615,-8.26512,-13.18176,-9.69152,-12.6321,-17.71735
2827,-8.19819,-8.25729,-3.65255,-3.3768,-8.5968,-6.376,-7.00362,-15.42919
2828,-9.23307,-9.78465,-4.16295,-4.40592,-9.36096,-8.41632,-6.2361,-15.68343
2829,-15.18363,-16.14865,-11.81895,-12.3816,-15.72896,-15.04736,-11.60874,-21.27671
2830,-20.61675,-21.49441,-18.19895,-18.55632,-20.82336,-18.61792,-13.9113,-25.85303
2831,-21.13419,-21.49441,-19.73015,-19.84272,-21.58752,-18.61792,-12.6321,-27.63271
2832,-23.20395,-23.78545,-22.28215,-21.12912,-22.09696,-19.38304,-9.05034,-33.98871
2833,-26.56731,-27.09473,-25.59975,-23.70192,-24.89888,-23.20864,-16.21386,-35.00567
2834,-25.27371,-25.31281,-23.30295,-22.41552,-24.13472,-21.6784,-19.79562,-29.41239
2835,-21.65163,-21.49441,-17.17815,-17.26992,-19.29504,-15.3024,-14.16714,-25.34455
2836,-19.58187,-19.96705,-15.39175,-15.21168,-18.02144,-13.77216,-12.12042,-25.09031
2837,-23.46267,-24.54913,-20.75095,-19.58544,-22.86112,-19.63808,-16.98138,-29.66663
2838,-28.63707,-29.89489,-26.62055,-24.98832,-29.22912,-24.73888,-22.35402,-32.97175
2839,-29.41323,-29.89489,-27.38615,-27.04656,-31.5216,-25.504,-21.84234,-32.97175
2840,-26.82603,-26.84017,-25.34455,-25.2456,-27.95552,-20.65824,-10.32954,-34.75143
2841,-26.82603,-27.34929,-24.83415,-24.47376,-25.91776,-20.65824,-12.12042,-36.53111
2842,-28.37835,-28.87665,-24.06855,-23.18736,-25.66304,-22.18848,-19.79562,-34.24295
2843,-26.82603,-27.09473,-21.51655,-20.35728,-23.88,-20.14816,-18.26058,-31.19207
2844,-26.30859,-26.58561,-21.26135,-19.84272,-23.11584,-19.38304,-14.67882,-31.70055
2845,-28.37835,-28.62209,-22.53735,-20.87184,-23.62528,-20.4032,-14.93466,-32.97175
2846,-28.37835,-28.36753,-21.00615,-19.32816,-21.3328,-19.128,-14.16714,-31.70055
2847,-25.01499,-25.05825,-18.19895,-15.98352,-17.512,-15.04736,-10.0737,-29.92087
2848,-22.42779,-22.76721,-18.45415,-15.98352,-17.00256,-13.26208,-7.25946,-29.92087
2849,-21.39291,-21.74897,-18.96455,-17.26992,-17.76672,-12.49696,-2.91018,-28.39543
2850,-17.51211,-17.42145,-16.15735,-15.72624,-17.00256,-13.00704,-8.02698,-24.07335
2851,-14.66619,-14.87585,-14.37095,-14.18256,-16.74784,-14.28224,-13.9113,-25.59879
2852,-15.95979,-16.91233,-15.90215,-15.72624,-18.02144,-14.28224,-13.39962,-25.34455
2853,-19.06443,-19.71249,-18.19895,-18.04176,-19.80448,-17.08768,-15.1905,-22.80215
2854,-20.87547,-20.98529,-19.47495,-18.8136,-20.82336,-19.128,-16.4697,-22.80215
2855,-21.91035,-22.00353,-19.21975,-17.78448,-20.31392,-17.08768,-10.32954,-25.09031
2856,-21.13419,-21.49441,-18.45415,-17.01264,-20.82336,-17.59776,-13.39962,-25.85303
2857,-23.20395,-23.78545,-21.51655,-20.1,-24.13472,-22.44352,-23.88906,-29.41239
2858,-26.56731,-27.09473,-25.34455,-23.70192,-27.44608,-25.75904,-25.16826,-31.70055
2859,-27.86091,-28.11297,-27.13095,-26.01744,-29.73856,-26.01408,-21.07482,-31.95479
2860,-27.86091,-28.11297,-28.15175,-26.78928,-31.26688,-26.52416,-20.3073,-32.20903
2861,-26.56731,-27.09473,-27.89655,-26.27472,-31.01216,-26.7792,-21.33066,-30.68359
2862,-24.49755,-25.05825,-26.62055,-26.01744,-28.71968,-26.26912,-22.09818,-26.61575
2863,-23.20395,-23.53089,-25.34455,-24.47376,-24.64416,-21.6784,-12.88794,-24.07335
2864,-26.56731,-27.34929,-28.66215,-27.30384,-26.93664,-22.44352,-14.42298,-30.93783
2865,-32.00043,-32.69505,-34.02135,-33.47856,-33.04992,-30.09472,-30.28506,-38.05655
2866,-31.22427,-31.42225,-32.49015,-32.44944,-30.50272,-29.07456,-31.30842,-35.00567
2867,-23.20395,-22.76721,-23.04775,-23.18736,-20.31392,-19.89312,-16.98138,-26.36151
2868,-18.28827,-18.43969,-18.96455,-18.55632,-15.47424,-16.06752,-10.0737,-28.39543
2869,-19.58187,-20.22161,-21.51655,-20.87184,-18.02144,-18.36288,-12.6321,-30.93783
2870,-19.06443,-19.20337,-19.98535,-19.84272,-15.98368,-15.55744,-7.00362,-25.59879
2871,-14.40747,-14.11217,-14.62615,-16.2408,-10.88928,-12.24192,-2.14266,-19.49703
2872,-14.92491,-15.38497,-15.90215,-18.8136,-13.43648,-19.128,-16.4697,-22.29367
2873,-20.09931,-20.22161,-20.49575,-23.18736,-18.02144,-24.2288,-24.91242,-28.90391
2874,-18.28827,-18.18513,-17.43335,-20.1,-14.71008,-19.38304,-17.23722,-26.61575
2875,-12.07899,-11.56657,-10.54295,-12.89616,-7.57792,-12.49696,-6.49194,-21.02247
2876,-7.68075,-7.23905,-7.48055,-8.5224,-2.99296,-8.9264,-1.37514,-18.22583
2877,-5.86971,-5.96625,-4.41815,-3.89136,2.10144,-2.80544,7.8351,-15.42919
2878,-5.09355,-4.69345,-1.61095,-0.54672,5.4128,-0.25504,8.85846,-12.63255
2879,-2.24763,-2.14785,-0.33495,-0.28944,3.88448,-3.06048,-1.1193,-8.81895
2880,0.08085,0.39775,-1.35575,-1.31856,1.592,-4.84576,-4.18938,-7.29351
2881,-1.73019,-1.63873,-3.39735,-3.3768,-0.19104,-5.86592,-1.88682,-8.56471
2882,-6.38715,-6.22081,-6.45975,-6.20688,-2.2288,-7.14112,-0.86346,-11.61559
2883,-6.12843,-6.22081,-5.94935,-5.69232,-1.71936,-4.84576,1.69494,-10.59863
2884,-5.86971,-5.96625,-6.45975,-5.69232,-3.24768,-4.59072,4.25334,-10.34439
2885,-8.45691,-8.76641,-9.01175,-8.77968,-6.0496,-4.84576,9.37014,-11.36135
2886,-9.23307,-9.27553,-10.79815,-10.58064,-7.3232,-6.376,3.74166,-11.10711
2887,-4.31739,-4.18433,-7.99095,-8.77968,-6.0496,-7.6512,-3.16602,-6.53079
2888,-0.69531,-0.62049,-5.43895,-6.20688,-5.03072,-6.88608,-2.65434,-2.97143
2889,-0.69531,-0.87505,-5.43895,-5.9496,-4.26656,-5.61088,1.18326,-2.97143
2890,-3.02379,-2.91153,-6.71495,-6.97872,-2.2288,-4.08064,1.18326,-4.75111
2891,-1.21275,-0.87505,-4.67335,-3.89136,3.62976,0.0,3.22998,-3.22567
2892,1.89189,2.17967,-0.84535,0.4824,7.96,3.57056,9.88182,-0.68327
