Tm,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
77, 82893, 82859, 82631, 82488, 82720, 82753, 82551, 82869, 82893, 82859, 82631, 82488, 82720, 82753, 82551, 82869
78, 82896, 82860, 82633, 82482, 82724, 82750, 82558, 82879, 82896, 82860, 82633, 82482, 82724, 82750, 82558, 82879
79, 82898, 82849, 82648, 82482, 82733, 82763, 82553, 82888, 82898, 82849, 82648, 82482, 82733, 82763, 82553, 82888
80, 82901, 82861, 82644, 82476, 82731, 82764, 82559, 82878, 82901, 82861, 82644, 82476, 82731, 82764, 82559, 82878
81, 82896, 82868, 82648, 82480, 82730, 82758, 82558, 82873, 82896, 82868, 82648, 82480, 82730, 82758, 82558, 82873
82, 82906, 82867, 82654, 82479, 82727, 82764, 82554, 82876, 82906, 82867, 82654, 82479, 82727, 82764, 82554, 82876
83, 82903, 82854, 82641, 82481, 82728, 82763, 82561, 82883, 82903, 82854, 82641, 82481, 82728, 82763, 82561, 82883
84, 82906, 82850, 82648, 82476, 82723, 82764, 82563, 82887, 82906, 82850, 82648, 82476, 82723, 82764, 82563, 82887
85, 82899, 82862, 82645, 82480, 82723, 82759, 82572, 82884, 82899, 82862, 82645, 82480, 82723, 82759, 82572, 82884
86, 82897, 82863, 82651, 82480, 82721, 82749, 82568, 82879, 82897, 82863, 82651, 82480, 82721, 82749, 82568, 82879
87, 82903, 82863, 82646, 82478, 82722, 82754, 82558, 82873, 82903, 82863, 82646, 82478, 82722, 82754, 82558, 82873
88, 82902, 82854, 82642, 82473, 82724, 82767, 82553, 82884, 82902, 82854, 82642, 82473, 82724, 82767, 82553, 82884
89, 82904, 82851, 82645, 82468, 82734, 82751, 82543, 82893, 82904, 82851, 82645, 82468, 82734, 82751, 82543, 82893
90, 82910, 82848, 82648, 82481, 82741, 82751, 82561, 82881, 82910, 82848, 82648, 82481, 82741, 82751, 82561, 82881
91, 82909, 82856, 82651, 82477, 82724, 82761, 82569, 82863, 82909, 82856, 82651, 82477, 82724, 82761, 82569, 82863
92, 82901, 82861, 82643, 82463, 82708, 82756, 82568, 82868, 82901, 82861, 82643, 82463, 82708, 82756, 82568, 82868
93, 82910, 82861, 82651, 82473, 82724, 82753, 82559, 82863, 82910, 82861, 82651, 82473, 82724, 82753, 82559, 82863
94, 82898, 82864, 82639, 82471, 82713, 82743, 82540, 82871, 82898, 82864, 82639, 82471, 82713, 82743, 82540, 82871
95, 82901, 82861, 82654, 82476, 82715, 82759, 82549, 82868, 82901, 82861, 82654, 82476, 82715, 82759, 82549, 82868
96, 82914, 82860, 82651, 82484, 82714, 82755, 82549, 82881, 82914, 82860, 82651, 82484, 82714, 82755, 82549, 82881
97, 82912, 82866, 82636, 82486, 82733, 82758, 82549, 82881, 82912, 82866, 82636, 82486, 82733, 82758, 82549, 82881
98, 82904, 82845, 82643, 82478, 82728, 82762, 82557, 82873, 82904, 82845, 82643, 82478, 82728, 82762, 82557, 82873
99, 82900, 82849, 82641, 82469, 82719, 82753, 82555, 82866, 82900, 82849, 82641, 82469, 82719, 82753, 82555, 82866
100, 55125, 55056, 54879, 54699, 54949, 54955, 54812, 55088, 55125, 55056, 54879, 54699, 54949, 54955, 54812, 55088
101, -56651, -56722, -56774, -56989, -56776, -56805, -56784, -56593, -56651, -56722, -56774, -56989, -56776, -56805, -56784, -56593
102, -84759, -84811, -84848, -85067, -84878, -84891, -84827, -84654, -84759, -84811, -84848, -85067, -84878, -84891, -84827, -84654
103, -84763, -84818, -84853, -85064, -84881, -84887, -84834, -84653, -84763, -84818, -84853, -85064, -84881, -84887, -84834, -84653
104, -84755, -84816, -84849, -85060, -84861, -84887, -84842, -84644, -84755, -84816, -84849, -85060, -84861, -84887, -84842, -84644
105, -84749, -84815, -84841, -85062, -84861, -84895, -84838, -84643, -84749, -84815, -84841, -85062, -84861, -84895, -84838, -84643
106, -84756, -84815, -84851, -85062, -84867, -84901, -84826, -84636, -84756, -84815, -84851, -85062, -84867, -84901, -84826, -84636
107, -84766, -84817, -84849, -85072, -84864, -84894, -84842, -84641, -84766, -84817, -84849, -85072, -84864, -84894, -84842, -84641
108, -84756, -84825, -84851, -85070, -84872, -84897, -84844, -84641, -84756, -84825, -84851, -85070, -84872, -84897, -84844, -84641
109, -84739, -84822, -84843, -85066, -84876, -84899, -84849, -84639, -84739, -84822, -84843, -85066, -84876, -84899, -84849, -84639
110, -84751, -84816, -84855, -85074, -84871, -84897, -84847, -84637, -84751, -84816, -84855, -85074, -84871, -84897, -84847, -84637
111, -84757, -84803, -84860, -85076, -84875, -84902, -84842, -84652, -84757, -84803, -84860, -85076, -84875, -84902, -84842, -84652
112, -84759, -84812, -84847, -85066, -84883, -84901, -84839, -84648, -84759, -84812, -84847, -85066, -84883, -84901, -84839, -84648
113, -84755, -84814, -84851, -85066, -84871, -84904, -84844, -84643, -84755, -84814, -84851, -85066, -84871, -84904, -84844, -84643
114, -84746, -84811, -84841, -85060, -84866, -84909, -84838, -84644, -84746, -84811, -84841, -85060, -84866, -84909, -84838, -84644
115, -84749, -84803, -84839, -85053, -84853, -84906, -84839, -84647, -84749, -84803, -84839, -85053, -84853, -84906, -84839, -84647
116, -84752, -84809, -84850, -85054, -84863, -84902, -84845, -84639, -84752, -84809, -84850, -85054, -84863, -84902, -84845, -84639
117, -84747, -84810, -84850, -85062, -84865, -84899, -84848, -84641, -84747, -84810, -84850, -85062, -84865, -84899, -84848, -84641
118, -84749, -84814, -84856, -85064, -84859, -84897, -84849, -84647, -84749, -84814, -84856, -85064, -84859, -84897, -84849, -84647
119, -84762, -84810, -84854, -85058, -84863, -84900, -84836, -84629, -84762, -84810, -84854, -85058, -84863, -84900, -84836, -84629
120, -84756, -84807, -84846, -85075, -84860, -84892, -84836, -84635, -84756, -84807, -84846, -85075, -84860, -84892, -84836, -84635
121, -84749, -84802, -84845, -85072, -84857, -84896, -84846, -84661, -84749, -84802, -84845, -85072, -84857, -84896, -84846, -84661
122, -84764, -84816, -84849, -85061, -84862, -84889, -84850, -84662, -84764, -84816, -84849, -85061, -84862, -84889, -84850, -84662
123, -84761, -84824, -84848, -85062, -84869, -84893, -84855, -84651, -84761, -84824, -84848, -85062, -84869, -84893, -84855, -84651
124, -84751, -84821, -84852, -85062, -84871, -84899, -84842, -84649, -84751, -84821, -84852, -85062, -84871, -84899, -84842, -84649
125, -84760, -84817, -84859, -85063, -84868, -84887, -84842, -84648, -84760, -84817, -84859, -85063, -84868, -84887, -84842, -84648
126, -84751, -84816, -84859, -85067, -84859, -84886, -84833, -84647, -84751, -84816, -84859, -85067, -84859, -84886, -84833, -84647
127, -84748, -84818, -84848, -85071, -84870, -84884, -84850, -84649, -84748, -84818, -84848, -85071, -84870, -84884, -84850, -84649
128, -84757, -84820, -84852, -85071, -84877, -84891, -84864, -84646, -84757, -84820, -84852, -85071, -84877, -84891, -84864, -84646
129, -84759, -84812, -84844, -85069, -84869, -84892, -84849, -84645, -84759, -84812, -84844, -85069, -84869, -84892, -84849, -84645
130, -84755, -84807, -84852, -85067, -84866, -84895, -84833, -84641, -84755, -84807, -84852, -85067, -84866, -84895, -84833, -84641
131, -84762, -84814, -84857, -85057, -84869, -84891, -84841, -84638, -84762, -84814, -84857, -85057, -84869, -84891, -84841, -84638
132, -84758, -84810, -84846, -85057, -84871, -84893, -84845, -84642, -84758, -84810, -84846, -85057, -84871, -84893, -84845, -84642
133, -84749, -84817, -84846, -85055, -84876, -84895, -84835, -84630, -84749, -84817, -84846, -85055, -84876, -84895, -84835, -84630
134, -84744, -84802, -84839, -85056, -84864, -84890, -84837, -84634, -84744, -84802, -84839, -85056, -84864, -84890, -84837, -84634
135, -84747, -84801, -84851, -85065, -84873, -84886, -84837, -84646, -84747, -84801, -84851, -85065, -84873, -84886, -84837, -84646
136, -84753, -84819, -84849, -85059, -84869, -84888, -84843, -84657, -84753, -84819, -84849, -85059, -84869, -84888, -84843, -84657
137, -84757, -84816, -84851, -85065, -84866, -84901, -84844, -84657, -84757, -84816, -84851, -85065, -84866, -84901, -84844, -84657
138, -84757, -84816, -84852, -85067, -84863, -84902, -84861, -84648, -84757, -84816, -84852, -85067, -84863, -84902, -84861, -84648
139, -84745, -84807, -84855, -85063, -84862, -84904, -84856, -84634, -84745, -84807, -84855, -85063, -84862, -84904, -84856, -84634
140, -84739, -84823, -84852, -85071, -84869, -84901, -84847, -84641, -84739, -84823, -84852, -85071, -84869, -84901, -84847, -84641
141, -84746, -84807, -84848, -85071, -84877, -84892, -84850, -84644, -84746, -84807, -84848, -85071, -84877, -84892, -84850, -84644
142, -84759, -84806, -84852, -85067, -84879, -84897, -84846, -84638, -84759, -84806, -84852, -85067, -84879, -84897, -84846, -84638
143, -84757, -84819, -84857, -85054, -84872, -84890, -84845, -84642, -84757, -84819, -84857, -85054, -84872, -84890, -84845, -84642
144, -84754, -84829, -84854, -85056, -84862, -84883, -84849, -84650, -84754, -84829, -84854, -85056, -84862, -84883, -84849, -84650
145, -84759, -84827, -84846, -85059, -84861, -84886, -84842, -84649, -84759, -84827, -84846, -85059, -84861, -84886, -84842, -84649
146, -84747, -84815, -84837, -85066, -84861, -84907, -84844, -84652, -84747, -84815, -84837, -85066, -84861, -84907, -84844, -84652
147, -84746, -84806, -84851, -85057, -84867, -84904, -84834, -84634, -84746, -84806, -84851, -85057, -84867, -84904, -84834, -84634
148, -84739, -84814, -84851, -85062, -84876, -84896, -84835, -84640, -84739, -84814, -84851, -85062, -84876, -84896, -84835, -84640
149, -84746, -84815, -84855, -85068, -84885, -84899, -84854, -84654, -84746, -84815, -84855, -85068, -84885, -84899, -84854, -84654
150, -84752, -84812, -84856, -85069, -84875, -84884, -84844, -84648, -84752, -84812, -84856, -85069, -84875, -84884, -84844, -84648
151, -84752, -84811, -84862, -85073, -84866, -84887, -84847, -84636, -84752, -84811, -84862, -85073, -84866, -84887, -84847, -84636
152, -84742, -84810, -84854, -85076, -84864, -84897, -84837, -84629, -84742, -84810, -84854, -85076, -84864, -84897, -84837, -84629
153, -84755, -84807, -84859, -85062, -84862, -84902, -84849, -84638, -84755, -84807, -84859, -85062, -84862, -84902, -84849, -84638
154, -84756, -84820, -84851, -85063, -84868, -84896, -84850, -84651, -84756, -84820, -84851, -85063, -84868, -84896, -84850, -84651
155, -84759, -84818, -84861, -85055, -84878, -84888, -84849, -84644, -84759, -84818, -84861, -85055, -84878, -84888, -84849, -84644
156, -84753, -84815, -84849, -85052, -84873, -84884, -84842, -84648, -84753, -84815, -84849, -85052, -84873, -84884, -84842, -84648
157, -84745, -84808, -84853, -85060, -84868, -84887, -84849, -84641, -84745, -84808, -84853, -85060, -84868, -84887, -84849, -84641
158, -84755, -84817, -84856, -85069, -84869, -84884, -84843, -84640, -84755, -84817, -84856, -85069, -84869, -84884, -84843, -84640
159, -84757, -84809, -84858, -85062, -84867, -84891, -84832, -84636, -84757, -84809, -84858, -85062, -84867, -84891, -84832, -84636
160, -84759, -84819, -84854, -85070, -84871, -84896, -84836, -84642, -84759, -84819, -84854, -85070, -84871, -84896, -84836, -84642
161, -84754, -84820, -84862, -85062, -84861, -84894, -84841, -84646, -84754, -84820, -84862, -85062, -84861, -84894, -84841, -84646
162, -84751, -84809, -84850, -85059, -84864, -84886, -84837, -84642, -84751, -84809, -84850, -85059, -84864, -84886, -84837, -84642
163, -84765, -84802, -84847, -85053, -84864, -84892, -84844, -84636, -84765, -84802, -84847, -85053, -84864, -84892, -84844, -84636
164, -56979, -57009, -57096, -57271, -57078, -57106, -57099, -56869, -56979, -57009, -57096, -57271, -57078, -57106, -57099, -56869
165, 54811, 54756, 54554, 54409, 54649, 54663, 54493, 54803, -56663, -56720, -56779, -56992, -56782, -56804, -56800, -56575
166, 82910, 82855, 82638, 82483, 82714, 82751, 82547, 82867, -84756, -84806, -84847, -85059, -84864, -84891, -84829, -84634
167, 82904, 82857, 82646, 82476, 82710, 82759, 82553, 82882, -84740, -84809, -84852, -85052, -84859, -84893, -84838, -84635
168, 82898, 82864, 82642, 82471, 82716, 82761, 82553, 82877, -84752, -84811, -84848, -85062, -84865, -84891, -84841, -84642
169, 82901, 82854, 82648, 82482, 82721, 82748, 82558, 82868, -84753, -84812, -84847, -85061, -84876, -84902, -84839, -84642
170, 82907, 82858, 82638, 82477, 82720, 82748, 82559, 82869, -84747, -84818, -84849, -85066, -84879, -84897, -84836, -84648
171, 82897, 82856, 82623, 82474, 82708, 82746, 82567, 82876, -84750, -84822, -84846, -85063, -84871, -84887, -84837, -84646
