CH1SET,CH2SET,CH3SET,CH4SET,CH5SET,CH6SET,CH7SET,CH8SET,CH1SET1,CH2SET1,CH3SET1,CH4SET1,CH5SET1,CH6SET1,CH7SET1,CH8SET1
202797, -24055, 295182, 396753, -29037, 61414, 227394, -21604, -24055, 295182, 396753, -29037, 61414, 227394, -21604, -24055, 295182, 396753, -29037, 61414, 227394, -21604
204723, -24557, 303629, 399966, -28811, 60449, 210870, -21652, -24557, 303629, 399966, -28811, 60449, 210870, -21652, -24557, 303629, 399966, -28811, 60449, 210870, -21652
206469, -24583, 304193, 422719, -28956, 60801, 231689, -21809, -24583, 304193, 422719, -28956, 60801, 231689, -21809, -24583, 304193, 422719, -28956, 60801, 231689, -21809
199929, -24669, 299533, 420513, -29057, 59414, 247214, -22020, -24669, 299533, 420513, -29057, 59414, 247214, -22020, -24669, 299533, 420513, -29057, 59414, 247214, -22020
203854, -24354, 294188, 404957, -28706, 60535, 258171, -21927, -24354, 294188, 404957, -28706, 60535, 258171, -21927, -24354, 294188, 404957, -28706, 60535, 258171, -21927
195928, -24373, 295820, 425617, -28798, 57803, 241648, -21811, -24373, 295820, 425617, -28798, 57803, 241648, -21811, -24373, 295820, 425617, -28798, 57803, 241648, -21811
192033, -24406, 292456, 409151, -28972, 64901, 212086, -21492, -24406, 292456, 409151, -28972, 64901, 212086, -21492, -24406, 292456, 409151, -28972, 64901, 212086, -21492
201991, -24521, 303019, 409776, -29092, 66626, 212444, -21597, -24521, 303019, 409776, -29092, 66626, 212444, -21597, -24521, 303019, 409776, -29092, 66626, 212444, -21597
202208, -24899, 312627, 410008, -28885, 65428, 227173, -21541, -24899, 312627, 410008, -28885, 65428, 227173, -21541, -24899, 312627, 410008, -28885, 65428, 227173, -21541
194494, -24884, 315384, 400596, -28936, 67599, 239069, -21534, -24884, 315384, 400596, -28936, 67599, 239069, -21534, -24884, 315384, 400596, -28936, 67599, 239069, -21534
205777, -24701, 304281, 420468, -28752, 64379, 232733, -21469, -24701, 304281, 420468, -28752, 64379, 232733, -21469, -24701, 304281, 420468, -28752, 64379, 232733, -21469
206299, -24647, 302539, 421329, -28526, 64598, 241281, -21704, -24647, 302539, 421329, -28526, 64598, 241281, -21704, -24647, 302539, 421329, -28526, 64598, 241281, -21704
189682, -24716, 304943, 403469, -28544, 66548, 224971, -21648, -24716, 304943, 403469, -28544, 66548, 224971, -21648, -24716, 304943, 403469, -28544, 66548, 224971, -21648
191723, -24803, 285658, 390602, -28922, 63923, 220944, -21597, -24803, 285658, 390602, -28922, 63923, 220944, -21597, -24803, 285658, 390602, -28922, 63923, 220944, -21597
201364, -24563, 285492, 395899, -28639, 62692, 233406, -21583, -24563, 285492, 395899, -28639, 62692, 233406, -21583, -24563, 285492, 395899, -28639, 62692, 233406, -21583
197773, -24457, 287184, 401905, -28926, 64084, 225283, -21696, -24457, 287184, 401905, -28926, 64084, 225283, -21696, -24457, 287184, 401905, -28926, 64084, 225283, -21696
196777, -24029, 287248, 409367, -29412, 61706, 253350, -21948, -24029, 287248, 409367, -29412, 61706, 253350, -21948, -24029, 287248, 409367, -29412, 61706, 253350, -21948
192955, -24096, 284945, 405514, -29016, 63866, 245492, -21971, -24096, 284945, 405514, -29016, 63866, 245492, -21971, -24096, 284945, 405514, -29016, 63866, 245492, -21971
189837, -24462, 292254, 416704, -28666, 67593, 241647, -21701, -24462, 292254, 416704, -28666, 67593, 241647, -21701, -24462, 292254, 416704, -28666, 67593, 241647, -21701
189599, -24904, 293753, 404295, -28952, 69199, 222536, -21456, -24904, 293753, 404295, -28952, 69199, 222536, -21456, -24904, 293753, 404295, -28952, 69199, 222536, -21456
196073, -24944, 288953, 407520, -28976, 66418, 208578, -21581, -24944, 288953, 407520, -28976, 66418, 208578, -21581, -24944, 288953, 407520, -28976, 66418, 208578, -21581
198878, -24674, 284343, 411814, -28992, 61493, 210898, -21732, -24674, 284343, 411814, -28992, 61493, 210898, -21732, -24674, 284343, 411814, -28992, 61493, 210898, -21732
201814, -24879, 294347, 409801, -28900, 64127, 221080, -21620, -24879, 294347, 409801, -28900, 64127, 221080, -21620, -24879, 294347, 409801, -28900, 64127, 221080, -21620
204047, -25219, 280636, 409334, -29100, 61021, 227499, -21632, -25219, 280636, 409334, -29100, 61021, 227499, -21632, -25219, 280636, 409334, -29100, 61021, 227499, -21632
197324, -25239, 287223, 408558, -29056, 62509, 233479, -21688, -25239, 287223, 408558, -29056, 62509, 233479, -21688, -25239, 287223, 408558, -29056, 62509, 233479, -21688
200713, -24857, 292036, 384528, -28814, 63319, 229165, -21727, -24857, 292036, 384528, -28814, 63319, 229165, -21727, -24857, 292036, 384528, -28814, 63319, 229165, -21727
192744, -24661, 276378, 390311, -28702, 61558, 225149, -21801, -24661, 276378, 390311, -28702, 61558, 225149, -21801, -24661, 276378, 390311, -28702, 61558, 225149, -21801
196023, -24587, 276069, 410263, -28772, 63196, 228739, -21761, -24587, 276069, 410263, -28772, 63196, 228739, -21761, -24587, 276069, 410263, -28772, 63196, 228739, -21761
