Oz,Po7,Po4,Po3,P4,P3,Po8,Pz,Fz,F2,F3,F4,AF3,Cz,AF4,F1
1.0505877007200901,1.0049912707978232,1.1448160582806126,1.1433772630427064,1.0477207981654728,1.0753244511080582,1.2322407606946637,1.0091170313934534,-0.25791627232069214,-0.2584714156538268,-0.25582701886661063,-0.2628091860996129,-0.25746684022119537,-0.25182426052695395,-0.2527538914089831,1.181600897421968
1.0574121735402096,1.1531104073112013,0.9935229714475065,1.1563074887922027,0.8984195880898881,1.1955747020764305,1.013756050394163,0.9633405688102734,-0.33148968369319953,-0.3331864111494387,-0.3290431023074614,-0.3369857842674959,-0.33163874220536765,-0.32520552011226805,-0.326603278423376,1.0166340661787414
0.8938540560326058,1.187702586071136,0.6877537811319878,0.9871124604437941,0.5953480376512981,1.1720282587199073,0.6544066560103468,0.7546192263637234,-0.38289915932712915,-0.3856488852962666,-0.38080932851840626,-0.38890404967545694,-0.3841706063339576,-0.3773097871968348,-0.3795354010281397,0.7062117714547413
0.6242867927831961,1.1108400248903747,0.35151625125864305,0.7037264411405137,0.25845086130553935,1.0224549139664802,0.29806051632613517,0.46553861602365026,-0.40800950908821343,-0.4110315699459116,-0.40676723966458767,-0.4139965375603568,-0.41052046794432284,-0.40367183045917066,-0.4066925335999323,0.37956736858075224
0.35335257677651144,0.9667436111903956,0.1115552354290991,0.4179931164064678,0.012857767092809034,0.8130758105030711,0.0742747891577403,0.20737090121477775,-0.4080897738421725,-0.41016438145462,-0.40746813722787006,-0.413248568711223,-0.41128792073952564,-0.4049139952210572,-0.4083134969887437,0.16099903410644098
0.17466118885110488,0.8167726564029529,0.034499767003087864,0.2290756152830667,-0.07313932493734912,0.6234651292526879,0.033646233523101296,0.06557204206206818,-0.3961749164611413,-0.3961693772799206,-0.3952317420910001,-0.39985555140130463,-0.39899697291784203,-0.39347481258081385,-0.3966317388738935,0.10967326154186742
0.12330398396721585,0.707213931260788,0.09251700267715646,0.17336017101240522,-0.02301702041796317,0.5056367646962898,0.12038764581037638,0.05640762921256169,-0.39274390059433656,-0.39017403737557116,-0.390396224672764,-0.3948659333366743,-0.3941629793210322,-0.3895919136378118,-0.3920008342932986,0.18929444145960372
0.1552099930083841,0.6461615346990276,0.17486294992498064,0.20475354581783192,0.057372200706598035,0.45798139902859314,0.19873694825394078,0.11536562139191461,-0.40733381849574035,-0.4026520657703011,-0.40311563651263566,-0.4084034488576647,-0.4069311781738065,-0.40301376089680857,-0.40460719561161296,0.28299471631996514
0.16765310468838263,0.5980135015962784,0.14490506978987033,0.21605411318192583,0.03390162518086888,0.42500627135133295,0.12541465933401078,0.12813939445000538,-0.42685308960122587,-0.42127414786257605,-0.4212867693871206,-0.4275594296023854,-0.42500666255790165,-0.4212068299161901,-0.42246017482963677,0.2527751954320825
0.052473508455923704,0.4986974956304669,-0.08808732230543087,0.09244346204944723,-0.18551752828089876,0.32347724523628546,-0.1744492104219423,-0.009712900764342745,-0.42564535715802065,-0.42057981056874066,-0.41994444846450374,-0.426371764835117,-0.4232215510973894,-0.41918109544879983,-0.4209042445266086,0.011708837756040286
-0.24784401749419765,0.28790900642168404,-0.5242816945781582,-0.22965071552633845,-0.6050843964243886,0.0846865661320884,-0.6728192782252088,-0.338752579174155,-0.38354084983856435,-0.3799423451283732,-0.37888529414737443,-0.38417648005477506,-0.38135223297174914,-0.3772532675054544,-0.3801983675471117,-0.43405184073363867
-0.7097930854594742,-0.05663573725305795,-1.073379012490912,-0.7274231403258753,-1.1386804184454478,-0.30731355861568777,-1.253674297469865,-0.8143994291220531,-0.29285763130261544,-0.29085115727220123,-0.28979599679313206,-0.29301960856183873,-0.2912975186389478,-0.2878255510848623,-0.292339249107615,-0.9894273415338253
-1.2343327282089431,-0.5029329806014735,-1.5894081766788486,-1.2956163865634596,-1.6427299773947497,-0.8020655002246315,-1.7578672574844967,-1.3223955403188763,-0.1576464669739486,-0.15664301930174102,-0.1560219461367254,-0.15710380915657796,-0.15673049171195752,-0.15460409016346507,-0.16047399370322968,-1.5075900238084414
-1.6842636383174172,-0.97577598959119,-1.9261455867480788,-1.787442592275212,-1.970685670791082,-1.301154437921064,-2.0429172553529575,-1.722384579707076,0.004409194521345845,0.005213998913870524,0.005085854189057387,0.005441936271553605,0.004710563000255405,0.005297457544067694,-0.0012242028729290244,-1.8452217394675787
-1.9412980811224483,-1.387164325850552,-1.998532744832185,-2.0761144894214008,-2.0344276576439215,-1.6985459154679863,-2.0433661639119682,-1.9064854605253985,0.16417180101833362,0.16526940545886787,0.1643297138028998,0.16508849215485288,0.16365404491687027,0.1632373107606788,0.1570297098512093,-1.9224159107400762
-1.9577326573959968,-1.6693537874151727,-1.8203467591703952,-2.1085061759709562,-1.8435357663050542,-1.9222182009152997,-1.7990582791091514,-1.8473649366758078,0.29615539799549795,0.2975143527537225,0.29609275392281187,0.296320078912442,0.2944284629167032,0.2939632128917107,0.2890087022025398,-1.7579787398641589
-1.7712271911880906,-1.7962485389485805,-1.4882413130883736,-1.9208858351009623,-1.4924090565004404,-1.9574003121403767,-1.4245241774713118,-1.604160678051298,0.3928517530692659,0.39410841681434683,0.39292846100990403,0.39199606770362067,0.38968857439142746,0.3899623487068844,0.38692841240463405,-1.450352528825466
-1.4726395519255757,-1.785263507579235,-1.1211713181431415,-1.6077645434030836,-1.1018154997354284,-1.841785277308701,-1.0406807938548654,-1.280113882811739,0.45945763577498444,0.4603018626243298,0.46021181158483143,0.457818578585392,0.45514183230989524,0.45635023630350613,0.4554595390890723,-1.1151377301817567
-1.1534620887244098,-1.6803711169654263,-0.8029370396059388,-1.2679030538971188,-0.7603644743940985,-1.6384928725798442,-0.7232171113412921,-0.965488805057802,0.49779457050204273,0.4982699517632315,0.4997634457717661,0.4959277444365332,0.4931560542519555,0.49492913326867605,0.4958514915984271,-0.8292424069530521
-0.8708421839566769,-1.5276657525701598,-0.5640380970297967,-0.9647643708593805,-0.5031641258367261,-1.4052204213346697,-0.4947355412144679,-0.7065486437778334,0.5037506626472213,0.5043146991967343,0.5071330540408231,0.5022289460748346,0.49982825867380654,0.5016250202441656,0.5035215382724137,-0.6166464912694058
-0.6436917289521416,-1.3591153558832656,-0.3960746023132281,-0.7194086216555413,-0.32393068130290736,-1.177512539388207,-0.34211636871151846,-0.5094250181974108,0.479105755167128,0.4804382070624307,0.48358938312544586,0.478353420578579,0.4766585728896242,0.47815731083100216,0.480032985943242,-0.46522811682541976
-0.4666959131895973,-1.1911158040809455,-0.2740160320799284,-0.5260071190807554,-0.19707973267260917,-0.9700894967775582,-0.23606974302280384,-0.3596434198925711,0.43594939432597296,0.4385751018405992,0.4408610116812913,0.4362534634852558,0.43512436252436565,0.43627662828181785,0.4376029325133111,-0.3486793730455683
-0.32651543886396683,-1.0310177523695054,-0.1753792399263454,-0.3711407779936999,-0.09778718661842639,-0.7866170608730179,-0.1504755085337807,-0.24017005890805085,0.38674775664652883,0.39062487128707996,0.3913863521479891,0.38830279745908114,0.38707574534369377,0.3878332945917027,0.3890343044603294,-0.24489068026828212
-0.21360625479227605,-0.8821802159761356,-0.0930378125214475,-0.24597217323445755,-0.015968248877571832,-0.6273819706557907,-0.0780381291171286,-0.14273513458487225,0.33646936467238475,0.34079167637526653,0.3403720079080325,0.33934721756529784,0.3371594181718181,0.33720766371252664,0.3395070827769765,-0.14911032064254048
-0.1258126461648652,-0.7458028169743149,-0.03325336627925315,-0.14855919780380053,0.04417589030059902,-0.4920999662992084,-0.02734426716224202,-0.06893349363244125,0.28573137624747935,0.28915742049407456,0.28875280654814195,0.28981423279860624,0.28609995623222717,0.28492049072299797,0.2894770523600475,-0.07206242147723642
-0.06249628886818971,-0.6223142944369271,0.00041957315082729804,-0.07826378203039591,0.07916711512195952,-0.3800276196137688,-0.002708657478063872,-0.02062779601910181,0.234490930804556,0.2357640226846507,0.23675037145327693,0.23945346497654207,0.23432570230506483,0.23157704643311175,0.2384614696960011,-0.022422010580618566
